,Date,Open,High,Low,Close,Volume
0,2007-11-20,10.511,10.511,8.6,9.46,67351
1,2007-11-21,9.46,9.46,8.5236,8.772,13815
2,2007-11-22,8.5618,8.7911,7.2718,8.4089,22291
3,2007-11-23,8.3324,8.5522,7.9598,8.5522,8165
4,2007-11-26,8.5522,9.1256,8.4567,8.4567,13118
5,2007-11-27,8.4471,8.5904,8.2178,8.5904,775
6,2007-11-28,8.9822,8.9822,8.6096,8.6096,3286
7,2007-11-29,8.6191,8.9344,8.6191,8.9249,1085
8,2007-11-30,8.858,8.8771,8.7529,8.8676,2242
9,2007-12-03,8.8484,8.8484,8.3802,8.772,395
10,2007-12-04,8.2656,8.7816,8.2656,8.4567,1775
11,2007-12-05,8.4567,8.6,8.3133,8.6,1520
12,2007-12-06,8.6096,8.6096,8.3133,8.4089,4182
13,2007-12-07,8.4089,8.5522,8.3133,8.5522,2017
14,2007-12-10,8.2178,8.5331,8.2178,8.5044,5179
15,2007-12-11,7.74,8.4089,7.74,8.4089,514
16,2007-12-12,8.0267,8.4949,8.0267,8.0362,505
17,2007-12-13,7.74,7.74,7.6444,7.6444,2099
18,2007-12-14,7.3196,7.6444,7.3196,7.6444,6423
19,2007-12-17,6.9947,7.2144,6.9947,7.0711,4207
20,2007-12-18,6.88,7.4056,6.8322,7.0998,39169
21,2007-12-19,7.4056,7.4056,7.1189,7.3482,26678
22,2007-12-20,7.5489,7.6444,7.0233,7.224,3796
23,2007-12-21,6.8513,7.1571,6.6889,6.8322,16620
24,2007-12-27,6.7844,6.9278,6.6889,6.8704,10724
25,2007-12-28,6.8704,7.4916,6.708,7.4916,6669
26,2008-01-02,6.7462,6.9278,6.4978,6.6507,11169
27,2008-01-03,6.6889,6.6889,6.4978,6.6698,4537
28,2008-01-04,6.6602,6.6602,6.1156,6.6411,6252
29,2008-01-07,6.1156,6.6411,6.1156,6.6411,175
30,2008-01-08,6.1347,6.5838,6.1347,6.4882,617
31,2008-01-09,6.1442,6.3067,6.1156,6.1156,4345
32,2008-01-10,5.7429,5.9244,5.7333,5.9244,3497
33,2008-01-11,6.106,6.106,6.106,6.106,1
34,2008-01-14,5.9149,5.9149,5.59,5.9149,4131
35,2008-01-15,6.1156,6.1156,5.59,5.5996,1095
36,2008-01-16,5.0453,5.5422,5.0453,5.5422,4402
37,2008-01-17,5.4371,5.4371,5.4371,5.4371,157
38,2008-01-18,5.4371,5.4371,4.7778,5.2556,12404
39,2008-01-21,4.9689,5.5422,4.7491,4.7778,6102
40,2008-01-22,4.9689,4.9689,4.8256,4.8256,333
41,2008-01-23,4.9689,5.6378,4.7682,5.2938,3447
42,2008-01-24,5.2938,6.3927,5.2938,6.3067,9445
43,2008-01-25,6.3067,6.6984,5.7333,6.2302,6834
44,2008-01-28,5.59,6.0678,5.59,5.6378,2696
45,2008-01-29,5.6856,6.2111,5.6856,5.9244,2135
46,2008-01-30,5.7333,5.9244,5.7333,5.8289,785
47,2008-01-31,5.6378,5.9244,5.6378,5.7238,1310
48,2008-02-01,5.7047,5.9244,5.7047,5.9244,383
49,2008-02-04,5.8289,6.2111,5.7811,5.934,2492
50,2008-02-05,5.4849,6.2016,5.4849,6.1156,129
