,Date,Open,High,Low,Close,Volume
0,2008-01-24,35.28,35.28,28.8,30.0,9264.0
1,2008-01-25,31.2,32.94,28.8,29.94,2511.0
2,2008-01-28,29.82,29.82,28.86,28.86,368.0
3,2008-01-29,28.86,28.86,27.0,27.0,577.0
4,2008-01-30,27.0,28.74,27.0,28.74,171.0
5,2008-01-31,27.6,27.6,27.06,27.06,198.0
6,2008-02-01,28.2,28.8,28.2,28.8,100.0
7,2008-02-04,28.5,28.5,26.4,26.4,301.0
8,2008-02-05,27.0,27.0,27.0,27.0,260.0
9,2008-02-06,27.0,28.08,27.0,28.08,31.0
10,2008-02-07,28.02,28.02,28.02,28.02,2.0
11,2008-02-08,28.68,28.68,27.9,27.9,196.0
12,2008-02-11,26.46,27.9,26.46,27.9,167.0
13,2008-02-12,27.0,27.0,27.0,27.0,250.0
14,2008-02-13,27.0,27.96,27.0,27.96,100.0
15,2008-02-14,27.6,28.2,27.6,28.2,658.0
16,2008-02-15,28.2,28.8,28.2,28.8,233.0
17,2008-02-19,28.8,28.8,28.8,28.8,7.0
18,2008-02-20,28.74,28.74,28.74,28.74,8.0
19,2008-02-21,30.66,30.66,28.2,29.1,377.0
20,2008-02-22,28.8,28.8,28.8,28.8,33.0
21,2008-02-26,27.9,27.9,27.9,27.9,16.0
22,2008-02-27,27.6,27.6,27.6,27.6,3.0
23,2008-02-28,27.72,27.72,27.6,27.6,151.0
24,2008-02-29,27.6,27.6,27.6,27.6,13.0
25,2008-03-03,27.06,27.06,26.22,26.22,148.0
26,2008-03-04,27.3,27.3,27.3,27.3,2.0
27,2008-03-05,25.86,25.86,24.9,25.8,185.0
28,2008-03-06,25.8,25.8,25.8,25.8,30.0
29,2008-03-10,25.8,25.8,25.8,25.8,167.0
30,2008-03-11,25.8,25.8,25.8,25.8,8.0
31,2008-03-12,25.8,25.8,25.8,25.8,17.0
32,2008-03-13,25.8,25.8,25.8,25.8,17.0
33,2008-03-14,25.8,25.8,25.8,25.8,8.0
34,2008-03-17,25.8,25.8,24.0,24.0,404.0
35,2008-03-19,24.0,24.0,22.8,22.8,507.0
36,2008-03-20,23.7,25.08,23.7,25.08,279.0
37,2008-03-25,24.6,24.6,24.6,24.6,17.0
38,2008-03-28,25.2,25.2,24.06,24.06,77.0
39,2008-03-31,23.7,24.6,23.7,24.6,5.0
40,2008-04-02,24.3,24.3,23.28,23.28,96.0
41,2008-04-09,22.8,22.8,22.8,22.8,110.0
42,2008-04-10,22.98,22.98,22.98,22.98,117.0
43,2008-04-11,23.1,23.94,23.1,23.94,133.0
44,2008-04-16,24.0,24.0,24.0,24.0,12.0
45,2008-04-17,24.0,26.4,24.0,26.4,111.0
